Type,From,To,"Date & Time",Duration,Summary,Sentiment,Keywords,"Is Booked","Created At"
inbound," "," ","06/20/25 10:59 PM",03:51,"Customer interested in booking. Positive customer interaction. General inquiry.",positive,18/29,1,"07/04/25 11:47 AM"
inbound," "," ","06/20/25 10:29 PM",00:26,,,,,"07/04/25 11:47 AM"
inbound," "," ","06/20/25 10:29 PM",01:16,"Customer interested in booking. General inquiry.",neutral,1/10,1,"07/04/25 11:47 AM"
inbound," "," ","06/20/25 09:30 PM",00:13,,,,,"07/04/25 11:47 AM"
inbound," "," ","06/20/25 09:29 PM",00:12,,,,,"07/04/25 11:47 AM"
inbound," "," ","06/20/25 09:26 PM",00:13,,,,,"07/04/25 11:47 AM"
inbound," "," ","06/20/25 09:26 PM",00:17,,,,,"07/04/25 11:47 AM"
inbound," "," ","06/20/25 04:23 PM",00:07,,,,,"07/04/25 11:47 AM"
inbound," "," ","06/20/25 04:22 PM",00:28,"Customer interested in booking. General inquiry.",neutral,0/10,1,"07/04/25 11:47 AM"
inbound," "," ","06/20/25 04:10 PM",00:09,,,,,"07/04/25 11:47 AM"
inbound," "," ","06/20/25 04:10 PM",00:23,"Customer interested in booking. General inquiry.",neutral,0/10,1,"07/04/25 11:47 AM"
inbound," "," ","06/20/25 04:09 PM",00:08,,,,,"07/04/25 11:47 AM"
inbound," "," ","06/20/25 04:09 PM",00:09,,,,,"07/04/25 11:47 AM"
inbound," "," ","06/20/25 02:54 PM",00:05,,,,,"07/04/25 11:47 AM"
inbound," "," ","06/20/25 02:54 PM",00:47,"Customer interested in booking. General inquiry.",neutral,0/10,1,"07/04/25 11:47 AM"
inbound," "," ","06/20/25 02:53 PM",00:06,,,,,"07/04/25 11:47 AM"
inbound," "," ","06/20/25 02:53 PM",00:48,"Customer interested in booking. General inquiry.",neutral,0/10,1,"07/04/25 11:47 AM"
inbound," "," ","06/25/25 08:59 PM",00:06,,,,,"07/04/25 11:48 AM"
inbound," "," ","06/25/25 08:59 PM",00:48,"Customer interested in booking. General inquiry.",neutral,0/10,1,"07/04/25 11:48 AM"
inbound," "," ","06/25/25 08:58 PM",00:09,,,,,"07/04/25 11:48 AM"
inbound," "," ","06/25/25 08:58 PM",00:06,,,,,"07/04/25 11:48 AM"
inbound," "," ","06/25/25 08:58 PM",00:19,"Customer interested in booking. General inquiry.",neutral,0/10,1,"07/04/25 11:48 AM"
inbound," "," ","06/25/25 08:28 PM",00:26,,,,,"07/04/25 11:48 AM"
inbound," "," ","06/25/25 08:28 PM",00:41,"Customer interested in booking. Positive customer interaction. General inquiry.",positive,3/29,1,"07/04/25 11:48 AM"
inbound," "," ","06/25/25 08:28 PM",00:17,,,,,"07/04/25 11:48 AM"
inbound," "," ","06/25/25 07:39 PM",01:28,,,,,"07/04/25 11:48 AM"
inbound," "," ","06/25/25 07:39 PM",01:43,"Customer interested in booking. Customer expressed concerns. General inquiry.",negative,6/29,1,"07/04/25 11:48 AM"
inbound," "," ","06/25/25 07:35 PM",00:27,,,,,"07/04/25 11:48 AM"
inbound," "," ","06/25/25 07:35 PM",00:40,"Customer interested in booking. Positive customer interaction. General inquiry.",positive,8/29,1,"07/04/25 11:48 AM"
inbound," "," ","06/25/25 07:31 PM",02:26,,,,,"07/04/25 11:48 AM"
inbound," "," ","06/25/25 07:31 PM",02:37,"Customer interested in booking. Customer expressed concerns. Customer service issue.",negative,11/29,1,"07/04/25 11:48 AM"
inbound," "," ","06/25/25 07:26 PM",01:45,,,,,"07/04/25 11:48 AM"
inbound," "," ","06/25/25 07:26 PM",02:24,"Customer interested in booking. Appointment booking request.",neutral,6/10,1,"07/04/25 11:48 AM"
inbound," "," ","06/25/25 06:20 PM",00:40,,,,,"07/04/25 11:48 AM"
inbound," "," ","06/25/25 06:20 PM",00:57,"Customer interested in booking. Positive customer interaction. Appointment booking request.",positive,9/29,1,"07/04/25 11:48 AM"
inbound," "," ","06/25/25 06:19 PM",00:00,,,,,"07/04/25 11:48 AM"
inbound," "," ","06/25/25 06:19 PM",00:41,,,,,"07/04/25 11:48 AM"
inbound," "," ","06/30/25 09:38 PM",00:03,,,,,"07/04/25 11:48 AM"
inbound," "," ","06/30/25 09:38 PM",00:37,"Customer interested in booking. General inquiry.",neutral,0/10,1,"07/04/25 11:48 AM"
inbound," "," ","06/30/25 07:48 PM",00:00,,,,,"07/04/25 11:48 AM"
inbound," "," ","06/30/25 07:22 PM",00:29,,,,,"07/04/25 11:48 AM"
inbound," "," ","06/30/25 07:22 PM",00:56,"Customer interested in booking. Positive customer interaction. Appointment booking request.",positive,5/29,1,"07/04/25 11:48 AM"
inbound," "," ","06/30/25 06:50 PM",00:00,,,,,"07/04/25 11:48 AM"
inbound," "," ","06/30/25 06:49 PM",00:37,,,,,"07/04/25 11:48 AM"
inbound," "," ","06/30/25 06:49 PM",00:09,,,,,"07/04/25 11:48 AM"
inbound," "," ","06/30/25 06:07 PM",00:08,,,,,"07/04/25 11:48 AM"
inbound," "," ","06/30/25 05:14 PM",00:26,,,,,"07/04/25 11:48 AM"
inbound," "," ","06/30/25 05:14 PM",00:46,"Customer interested in booking. Positive customer interaction. Appointment booking request.",positive,7/29,1,"07/04/25 11:48 AM"
inbound," "," ","06/30/25 05:13 PM",00:23,,,,,"07/04/25 11:48 AM"
inbound," "," ","06/30/25 12:56 PM",00:35,,,,,"07/04/25 11:48 AM"
inbound," "," ","06/30/25 12:56 PM",00:57,"Customer interested in booking. Positive customer interaction. General inquiry.",positive,3/29,1,"07/04/25 11:48 AM"
inbound," "," ","06/29/25 09:02 PM",00:00,,,,,"07/04/25 11:48 AM"
inbound," "," ","06/29/25 09:02 PM",00:47,,,,,"07/04/25 11:48 AM"
inbound," "," ","06/29/25 08:53 PM",00:54,,,,,"07/04/25 11:48 AM"
inbound," "," ","06/29/25 08:53 PM",01:08,"Customer interested in booking. Positive customer interaction. Appointment booking request.",positive,8/29,1,"07/04/25 11:48 AM"
inbound," "," ","06/29/25 08:52 PM",00:00,,,,,"07/04/25 11:48 AM"
inbound," "," ","06/29/25 08:52 PM",00:49,,,,,"07/04/25 11:48 AM"
inbound," "," ","07/01/25 11:45 PM",00:17,,,,,"07/07/25 08:32 AM"
inbound," "," ","07/01/25 09:46 PM",00:43,,,,,"07/07/25 08:32 AM"
inbound," "," ","07/01/25 09:46 PM",01:03,"Customer interested in booking. Positive customer interaction. Customer service issue.",positive,5/29,1,"07/07/25 08:32 AM"
inbound," "," ","07/01/25 09:18 PM",01:07,,,,,"07/07/25 08:32 AM"
inbound," "," ","07/01/25 09:18 PM",01:19,"Customer interested in booking. General inquiry.",neutral,5/10,1,"07/07/25 08:32 AM"
inbound," "," ","07/01/25 09:18 PM",00:13,,,,,"07/07/25 08:32 AM"
inbound," "," ","07/01/25 09:03 PM",00:12,,,,,"07/07/25 08:32 AM"
inbound," "," ","07/01/25 09:02 PM",00:02,,,,,"07/07/25 08:32 AM"
inbound," "," ","07/01/25 09:02 PM",00:40,,,,,"07/07/25 08:32 AM"
inbound," "," ","07/01/25 09:02 PM",00:13,,,,,"07/07/25 08:32 AM"
inbound," "," ","07/01/25 09:01 PM",00:16,,,,,"07/07/25 08:32 AM"
inbound," "," ","07/01/25 08:37 PM",00:06,,,,,"07/07/25 08:32 AM"
inbound," "," ","07/01/25 08:36 PM",00:49,"Customer interested in booking. General inquiry.",neutral,0/10,1,"07/07/25 08:32 AM"
inbound," "," ","07/01/25 08:36 PM",00:09,,,,,"07/07/25 08:32 AM"
inbound," "," ","07/01/25 08:23 PM",00:00,,,,,"07/07/25 08:32 AM"
inbound," "," ","07/01/25 08:23 PM",00:07,,,,,"07/07/25 08:32 AM"
inbound," "," ","07/01/25 08:23 PM",00:00,,,,,"07/07/25 08:32 AM"
inbound," "," ","07/01/25 08:23 PM",00:06,,,,,"07/07/25 08:32 AM"
inbound," "," ","07/01/25 08:20 PM",00:05,,,,,"07/07/25 08:32 AM"
inbound," "," ","07/01/25 08:20 PM",00:44,"Customer interested in booking. General inquiry.",neutral,0/10,1,"07/07/25 08:32 AM"
inbound," "," ","07/02/25 05:37 PM",00:37,,,,,"07/07/25 08:32 AM"
inbound," "," ","07/02/25 05:37 PM",00:50,"Customer interested in booking. Customer expressed concerns. Customer service issue.",negative,5/29,1,"07/07/25 08:32 AM"
inbound," "," ","07/02/25 05:30 PM",00:57,,,,,"07/07/25 08:32 AM"
inbound," "," ","07/02/25 05:30 PM",01:28,"Customer interested in booking. Positive customer interaction. General inquiry.",positive,6/29,1,"07/07/25 08:32 AM"
inbound," "," ","07/02/25 04:07 PM",00:39,,,,,"07/07/25 08:32 AM"
inbound," "," ","07/02/25 04:06 PM",01:08,"Customer interested in booking. Customer expressed concerns. Customer service issue.",negative,11/29,1,"07/07/25 08:32 AM"
